price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,zipcode,was_renovated,effective_year,house_age,age_effective,price_per_sqft,years_since_reno,has_basement,basement_ratio,bath_per_bed,sqft_per_room,log_sqft_living,log_sqft_lot,cluster,split,segment
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,,Shoreline,98133,0,1955,59,59.0,233.5820895522388,59.0,0,0.0,0.5,297.77777777777777,7.201170883281678,8.976262255609193,1,train,Compact Entry-Level
2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,,Seattle,98119,0,1921,93,93.0,653.1506849315068,93.0,1,0.07671232876712329,0.5,486.6666666666667,8.202756381655638,9.11063052782717,2,train,Premium View Property
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,,Kent,98042,0,1966,48,48.0,177.2020725388601,48.0,0,0.0,0.6666666666666666,386.0,7.565793282428515,9.388319179336001,1,train,Compact Entry-Level
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,,Bellevue,98008,0,1963,51,51.0,210.0,51.0,1,0.5,0.75,380.95238095238096,7.601402334583733,8.991064332188461,0,train,Established Family Home
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,,Redmond,98052,0,1976,38,38.0,283.50515463917526,38.0,1,0.41237113402061853,0.625,298.46153846153845,7.57095858316901,9.259225769705994,0,train,Established Family Home
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994.0,Seattle,98115,1,1994,76,20.0,556.8181818181819,20.0,0,0.0,0.5,293.3333333333333,6.78105762593618,8.761080103868347,1,train,Compact Entry-Level
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,,Redmond,98052,0,1976,38,38.0,248.14814814814812,38.0,0,0.0,1.0,337.5,7.208600337960199,7.848153086199526,1,train,Compact Entry-Level
482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,,Maple Valley,98038,0,1989,25,25.0,177.85977859778598,25.0,0,0.0,0.625,416.9230769230769,7.905072849498666,10.487628691687759,3,train,New-Build Suburban Family
452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,,North Bend,98045,0,1985,29,29.0,186.2139917695473,29.0,1,0.35390946502057613,0.8333333333333334,441.8181818181818,7.796057974316123,11.389932631855782,0,test,Established Family Home
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,,Seattle,98115,0,1945,69,69.0,421.05263157894734,69.0,0,0.0,0.5,253.33333333333334,7.327123292259293,8.732465848349879,1,train,Compact Entry-Level
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,,Lake Forest Park,98155,0,1948,66,66.0,270.7602339181287,66.0,0,0.0,0.5833333333333334,360.0,7.444833273892193,8.898502209646642,1,train,Compact Entry-Level
1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,,Seattle,98105,0,1909,105,105.0,479.45205479452056,105.0,1,0.3458904109589041,0.625,449.2307692307692,7.979681302387741,8.294299608857235,0,train,Established Family Home
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,,Sammamish,98074,0,1980,34,34.0,252.57510729613733,34.0,1,0.15450643776824036,0.5833333333333334,490.5263157894737,7.754052639035757,9.608646582885868,0,test,Established Family Home
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,,Seattle,98106,0,1955,59,59.0,334.86238532110093,59.0,0,0.0,0.3333333333333333,272.5,6.994849985833071,8.769662508112274,1,train,Compact Entry-Level
1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,,Seattle,98105,0,1939,75,75.0,412.37113402061857,75.0,0,0.0,0.55,375.48387096774195,7.976251943745623,9.15704507491796,3,test,New-Build Suburban Family
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,,Kent,98042,0,1965,49,49.0,202.08333333333331,49.0,0,0.0,0.5,266.6666666666667,7.0909098220799835,9.18204377282107,1,train,Compact Entry-Level
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,,Bellevue,98007,0,1956,58,58.0,266.8789808917197,58.0,0,0.0,0.5,348.8888888888889,7.359467638255621,8.81001204797317,1,train,Compact Entry-Level
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,,Auburn,98092,0,1997,17,17.0,118.16720257234726,17.0,0,0.0,0.75,444.2857142857143,8.042699496897637,8.886270902072013,3,test,New-Build Suburban Family
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,,Des Moines,98198,0,1987,27,27.0,188.28467153284672,27.0,0,0.0,0.5833333333333334,288.42105263157896,7.223295679562314,8.675734219544788,1,train,Compact Entry-Level
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,,North Bend,98045,0,1983,31,31.0,233.05084745762716,31.0,0,0.0,0.5,262.22222222222223,7.074116816197362,9.237760967552175,1,train,Compact Entry-Level
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,,Seattle,98115,0,1923,91,91.0,334.82142857142856,91.0,1,0.3080357142857143,0.5833333333333334,471.57894736842104,7.714677473800927,9.266626182986775,0,train,Established Family Home
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,,Bellevue,98006,0,1954,60,60.0,300.0,60.0,0,0.0,0.25,290.0,7.280008252884188,9.082620630373812,1,train,Compact Entry-Level
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,,Seattle,98102,0,2005,9,9.0,357.7142857142857,9.0,1,0.16,0.75,333.3333333333333,7.467942332285852,7.360739903058278,3,train,New-Build Suburban Family
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,,Bothell,98011,0,1991,23,23.0,224.3589743589744,23.0,0,0.0,0.625,420.0,7.912423121473705,9.414260328322634,3,test,New-Build Suburban Family
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,,Seattle,98125,0,1959,55,55.0,309.375,55.0,1,0.29375,0.4375,278.2608695652174,7.3783837129967145,8.761080103868347,0,train,Established Family Home
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,,Federal Way,98003,0,1987,27,27.0,136.36363636363637,27.0,1,0.3492822966507177,0.8333333333333334,380.0,7.645397699428633,9.29053691397046,0,train,Established Family Home
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,,Seattle,98136,0,1948,66,66.0,260.59322033898303,66.0,1,0.423728813559322,0.5833333333333334,496.8421052631579,7.766840537085513,8.894533135798554,0,test,Established Family Home
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,,Kirkland,98033,0,1920,94,94.0,317.27272727272725,94.0,1,0.4090909090909091,0.5625,352.0,7.696667081526462,9.328212292571072,0,train,Established Family Home
675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,1979,,Issaquah,98029,0,1979,35,35.0,239.3617021276596,35.0,0,0.0,0.5,376.0,7.944846711001996,11.120164318733623,3,train,New-Build Suburban Family
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,,Seattle,98117,0,1951,63,63.0,303.84615384615387,63.0,1,0.34615384615384615,0.8333333333333334,472.72727272727275,7.8636512654486515,8.46611040118692,0,test,Established Family Home
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,,Kirkland,98034,0,1967,47,47.0,245.19230769230768,47.0,0,0.0,0.4375,271.30434782608694,7.353081920515432,9.071193240566025,1,test,Compact Entry-Level
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,,Woodinville,98072,0,2004,10,10.0,174.80769230769232,10.0,1,0.23426573426573427,0.625,440.0,7.95892649305011,8.11552088154677,3,train,New-Build Suburban Family
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,,Seattle,98115,0,1945,69,69.0,357.1428571428572,69.0,1,0.0989010989010989,0.5,303.3333333333333,7.507141079727608,8.517393171418904,0,test,Established Family Home
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,2014,,Shoreline,98155,0,2014,0,0.0,221.63120567375887,0.0,0,0.0,0.625,433.84615384615387,7.944846711001996,9.037057839832897,3,test,New-Build Suburban Family
400000.0,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,1979,,Auburn,98092,0,1979,35,35.0,110.19283746556474,35.0,1,0.36639118457300274,0.625,558.4615384615385,8.197263371414335,10.666277393424522,0,train,Established Family Home
604000.0,3.0,2.5,3240,33151,2.0,0,2,3,3240,0,1995,,Federal Way,98023,0,1995,19,19.0,186.41975308641972,19.0,0,0.0,0.8333333333333334,589.0909090909091,8.083637203141548,10.408858325619155,2,train,Premium View Property
